avg_loser,avg_winner,best_month,completed,config,config_name,distinct_securities,ending_marked_equity,eventual_completed_trade_pnl,eventual_pnl_of_runoff_trades,filled,flat_months,flats,footnote,hit_rate,identities_hold,intended,largest_single_name_pnl_share,losses,marked_account_pnl_at_2026_08_31,max_drawdown_dollars,max_drawdown_pct_of_peak,mean_gross_exposure,mean_gross_over_marked_equity,median_month,monthly_reconciles,open_documented,p95_gross_over_marked_equity,payoff_ratio,peak_gross_exposure,peak_gross_over_marked_equity,positive_months,post_cutoff_incremental_runoff_pnl,profit_factor,rank_one_entry_notional_share,rank_one_pnl_share,red_months,return_on_starting_equity_pct,runoff_trade_count,split,stale_gross_at_boundary,starting_equity,sum_of_red_months,time_underwater_pct,turnover_entry_notional,view,wins,worst_day,worst_month
-902.56,1798.91,79654.64,415,C0,Incumbent Momentum+Volume R5,245,330719.74,230566.36,18877.42,416,0,0,"Modeled P&L includes the lab's stated commission/spread assumptions; broker-specific locate/HTB charges, dividends, financing, forced-close effects, taxes and other execution items are excluded. Historical fills and availability are modeled, not broker execution guarantees.",0.5398,True,416,0.1057,191,230719.74,-29172.81,-20.96,105126.67,0.6296,14853.07,True,1,0.9297,1.9931,262305.2,1.3717,10,-28.86,2.3375,0.1529,0.5949,2,230.72,16,ALL,4067.71,100000.0,-17097.23,71.71,2779070.46,EQUITY_SCALED,224,-27899.26,-14344.05
-618.7,1285.72,21130.35,200,C0,Incumbent Momentum+Volume R5,138,174319.31,74319.31,0,200,0,0,"Modeled P&L includes the lab's stated commission/spread assumptions; broker-specific locate/HTB charges, dividends, financing, forced-close effects, taxes and other execution items are excluded. Historical fills and availability are modeled, not broker execution guarantees.",0.52,True,200,0.2099,96,74319.31,-16988.65,-9.27,37578.8,0.2863,4980.04,,0,0.7519,2.0781,157224.86,1.0099,10,0,2.2513,0.1445,0.7138,2,74.32,0,IS,0,100000.0,-6114.62,77.69,990240.12,EQUITY_SCALED,104,-16988.65,-3991.34
-801.41,1384.7,44283.91,215,C0,Incumbent Momentum+Volume R5,152,190159.19,90030.82,10862.23,216,1,0,"Modeled P&L includes the lab's stated commission/spread assumptions; broker-specific locate/HTB charges, dividends, financing, forced-close effects, taxes and other execution items are excluded. Historical fills and availability are modeled, not broker execution guarantees.",0.5581,True,216,0.1403,95,90159.19,-30162.86,-22.6,44153.74,0.3469,1309.21,,1,0.7991,1.7278,151234.44,1.2484,7,-7.52,2.1825,0.1613,0.4981,4,90.16,16,OOS,3947.63,100000.0,-22763.3,71.71,1124329.64,EQUITY_SCALED,120,-11998.35,-9112.33
-571.17,1062.31,41830.29,415,C0,Incumbent Momentum+Volume R5,245,228986.4,128864.62,6181.92,416,0,0,"Modeled P&L includes the lab's stated commission/spread assumptions; broker-specific locate/HTB charges, dividends, financing, forced-close effects, taxes and other execution items are excluded. Historical fills and availability are modeled, not broker execution guarantees.",0.5398,True,416,0.0961,191,128986.4,-23309.47,-17.29,64972.9,0.4566,12466.49,True,1,0.6933,1.8599,123797.77,1.0303,10,-0.92,2.1812,0.1545,0.5815,2,128.99,16,ALL,3947.63,100000.0,-11818.12,71.71,1650681.64,FIXED_DOLLAR,224,-9733.97,-10902.96
-989.04,2353.94,105473.96,415,C1,Rank-one 1.50x reallocation,245,437801.45,338376.81,31034.09,416,0,0,"Modeled P&L includes the lab's stated commission/spread assumptions; broker-specific locate/HTB charges, dividends, financing, forced-close effects, taxes and other execution items are excluded. Historical fills and availability are modeled, not broker execution guarantees.",0.5398,True,416,0.1298,191,337801.45,-35471.92,-9.45,117374.35,0.6175,20161.76,True,1,0.9148,2.38,320023.63,1.425,10,689.78,2.7912,0.2288,0.713,2,337.8,16,ALL,3737.49,100000.0,-22964.27,67.33,3182759.91,EQUITY_SCALED,224,-35471.92,-17431.42
-628.93,1601.33,30202.96,200,C1,Rank-one 1.50x reallocation,138,206160.46,106160.46,0,200,0,0,"Modeled P&L includes the lab's stated commission/spread assumptions; broker-specific locate/HTB charges, dividends, financing, forced-close effects, taxes and other execution items are excluded. Historical fills and availability are modeled, not broker execution guarantees.",0.52,True,200,0.2347,96,106160.46,-20176.83,-9.45,40346.62,0.2806,6272.86,,0,0.743,2.5461,179931.32,1.0266,10,0,2.7583,0.2164,0.8133,2,106.16,0,IS,0,100000.0,-5659.28,75.3,1079399.58,EQUITY_SCALED,104,-20176.83,-4352.72
-831.88,1600.73,51417.5,215,C1,Rank-one 1.50x reallocation,152,212828.44,113059.03,15073.53,216,1,0,"Modeled P&L includes the lab's stated commission/spread assumptions; broker-specific locate/HTB charges, dividends, financing, forced-close effects, taxes and other execution items are excluded. Historical fills and availability are modeled, not broker execution guarantees.",0.5581,True,216,0.1731,95,112828.44,-32636.76,-24.0,44649.29,0.341,3140.21,,1,0.8117,1.9242,153357.76,1.2788,7,339.04,2.4306,0.2418,0.6232,4,112.83,16,OOS,3542.36,100000.0,-24637.83,62.95,1162411.86,EQUITY_SCALED,120,-19902.07,-11384.63
-562.06,1194.25,46877.21,415,C1,Rank-one 1.50x reallocation,245,260073.34,160159.08,7879.17,416,0,0,"Modeled P&L includes the lab's stated commission/spread assumptions; broker-specific locate/HTB charges, dividends, financing, forced-close effects, taxes and other execution items are excluded. Historical fills and availability are modeled, not broker execution guarantees.",0.5398,True,416,0.1161,191,160073.34,-22338.39,-16.1,63947.91,0.4252,14636.19,True,1,0.6624,2.1248,125484.51,1.0291,10,194.18,2.4919,0.2319,0.7025,2,160.07,16,ALL,3542.36,100000.0,-15090.23,67.33,1651319.01,FIXED_DOLLAR,224,-15624.18,-12860.26
-951.9,1444.31,69965.3,415,C2,Off-high substitution,248,278261.8,180053.14,12662.1,416,0,0,"Modeled P&L includes the lab's stated commission/spread assumptions; broker-specific locate/HTB charges, dividends, financing, forced-close effects, taxes and other execution items are excluded. Historical fills and availability are modeled, not broker execution guarantees.",0.5783,True,416,0.1127,175,178261.8,-36894.18,-27.22,95308.18,0.6302,11971.54,True,1,0.8913,1.5173,216330.21,1.3673,10,1883.7,2.0809,0.137,0.605,2,178.26,16,ALL,3017.01,100000.0,-19370.41,76.1,2515945.5,EQUITY_SCALED,240,-13867.53,-18333.74
-702.36,1071.56,23728.6,200,C2,Off-high substitution,146,161754.33,61754.33,0,200,0,0,"Modeled P&L includes the lab's stated commission/spread assumptions; broker-specific locate/HTB charges, dividends, financing, forced-close effects, taxes and other execution items are excluded. Historical fills and availability are modeled, not broker execution guarantees.",0.57,True,200,0.2559,86,61754.33,-14884.33,-10.21,36338.05,0.2887,3867.23,,0,0.7629,1.5256,143420.76,1.0615,7,0,2.0224,0.1283,0.751,5,61.75,0,IS,0,100000.0,-15264.13,78.09,952988.24,EQUITY_SCALED,114,-9901.01,-4458.8
