avg_loser,avg_winner,completed,footnote,gross_pnl,hit_rate,hold_sessions,intended,legacy_id,max_drawdown_dollars,mean_gross_exposure,modeled_net,peak_gross_exposure,profit_factor,quantity_panel,split,strategy,variant,worst_day
-205.9,298.53,200,"Headline modeled P&L includes the lab's stated commission/spread assumptions and excludes broker-specific locate/HTB charges, dividends, recalls/buy-ins, financing, taxes, and other account-specific execution items. Alpaca ETB securities currently carry $0 locate and borrow fees for Trading API users; short availability and other security-specific costs may still vary.",13310.92,0.52,1,200,PARENT,-2160.85,3174.89,11280.44,31940.48,1.5707,LEGACY_FILL_QTY,IS,Winner-Fade Short,Equal-Dollar Short,-2080.44
-306.74,463.24,200,"Headline modeled P&L includes the lab's stated commission/spread assumptions and excludes broker-specific locate/HTB charges, dividends, recalls/buy-ins, financing, taxes, and other account-specific execution items. Alpaca ETB securities currently carry $0 locate and borrow fees for Trading API users; short availability and other security-specific costs may still vary.",26143.14,0.555,2,200,PARENT,-4556.19,6296.75,24120.16,33933.67,1.8835,LEGACY_FILL_QTY,IS,Winner-Fade Short,Equal-Dollar Short,-3593.02
-379.22,543.48,200,"Headline modeled P&L includes the lab's stated commission/spread assumptions and excludes broker-specific locate/HTB charges, dividends, recalls/buy-ins, financing, taxes, and other account-specific execution items. Alpaca ETB securities currently carry $0 locate and borrow fees for Trading API users; short availability and other security-specific costs may still vary.",26753.73,0.545,3,200,PARENT,-6460.9,9367.48,24729.75,34779.55,1.7166,LEGACY_FILL_QTY,IS,Winner-Fade Short,Equal-Dollar Short,-3552.36
-439.21,614.18,200,"Headline modeled P&L includes the lab's stated commission/spread assumptions and excludes broker-specific locate/HTB charges, dividends, recalls/buy-ins, financing, taxes, and other account-specific execution items. Alpaca ETB securities currently carry $0 locate and borrow fees for Trading API users; short availability and other security-specific costs may still vary.",25843.99,0.53,4,200,PARENT,-5372.71,12435.78,23817.62,35627.18,1.5769,LEGACY_FILL_QTY,IS,Winner-Fade Short,Equal-Dollar Short,-3552.36
-492.05,675.07,200,"Headline modeled P&L includes the lab's stated commission/spread assumptions and excludes broker-specific locate/HTB charges, dividends, recalls/buy-ins, financing, taxes, and other account-specific execution items. Alpaca ETB securities currently carry $0 locate and borrow fees for Trading API users; short availability and other security-specific costs may still vary.",28496.25,0.535,5,200,PARENT,-7760.22,15507.71,26472.43,63553.04,1.5785,LEGACY_FILL_QTY,IS,Winner-Fade Short,Equal-Dollar Short,-3552.36
-500.55,718.97,200,"Headline modeled P&L includes the lab's stated commission/spread assumptions and excludes broker-specific locate/HTB charges, dividends, recalls/buy-ins, financing, taxes, and other account-specific execution items. Alpaca ETB securities currently carry $0 locate and borrow fees for Trading API users; short availability and other security-specific costs may still vary.",36056.27,0.55,6,200,PARENT,-7998.69,18569.07,34037.39,68306.31,1.7556,LEGACY_FILL_QTY,IS,Winner-Fade Short,Equal-Dollar Short,-3552.36
-568.67,729.35,200,"Headline modeled P&L includes the lab's stated commission/spread assumptions and excludes broker-specific locate/HTB charges, dividends, recalls/buy-ins, financing, taxes, and other account-specific execution items. Alpaca ETB securities currently carry $0 locate and borrow fees for Trading API users; short availability and other security-specific costs may still vary.",34963.3,0.565,7,200,PARENT,-8260.84,21600.31,32942.59,68306.31,1.6659,LEGACY_FILL_QTY,IS,Winner-Fade Short,Equal-Dollar Short,-7173.61
-547.83,782.41,200,"Headline modeled P&L includes the lab's stated commission/spread assumptions and excludes broker-specific locate/HTB charges, dividends, recalls/buy-ins, financing, taxes, and other account-specific execution items. Alpaca ETB securities currently carry $0 locate and borrow fees for Trading API users; short availability and other security-specific costs may still vary.",45423.79,0.575,8,200,PARENT,-10452.8,24635.9,43411.5,68306.31,1.9323,LEGACY_FILL_QTY,IS,Winner-Fade Short,Equal-Dollar Short,-7135.84
-584.0,872.23,200,"Headline modeled P&L includes the lab's stated commission/spread assumptions and excludes broker-specific locate/HTB charges, dividends, recalls/buy-ins, financing, taxes, and other account-specific execution items. Alpaca ETB securities currently carry $0 locate and borrow fees for Trading API users; short availability and other security-specific costs may still vary.",43944.73,0.545,9,200,PARENT,-13795.79,27629.82,41929.15,68306.31,1.789,LEGACY_FILL_QTY,IS,Winner-Fade Short,Equal-Dollar Short,-7135.84
-594.9,945.12,200,"Headline modeled P&L includes the lab's stated commission/spread assumptions and excludes broker-specific locate/HTB charges, dividends, recalls/buy-ins, financing, taxes, and other account-specific execution items. Alpaca ETB securities currently carry $0 locate and borrow fees for Trading API users; short availability and other security-specific costs may still vary.",43199.09,0.52,10,200,PARENT,-14273.28,30629.63,41182.52,95763.46,1.7211,LEGACY_FILL_QTY,IS,Winner-Fade Short,Equal-Dollar Short,-7135.84
