avg_holding_calendar_days,avg_loser,avg_winner,completed_pnl_exits_through_cutoff,completed_trade_pnl_all_cohorts,completed_trades,eventual_pnl_of_runoff_trades,footnote,hit_rate,identities_hold,legacy_id,marked_account_pnl_at_2026_08_31,marked_account_pnl_per_account_session,max_drawdown_dollars,mean_gross_exposure,mean_utilization_vs_100k_equity,open_documented_obligations,peak_gross_exposure,per_session_basis,post_cutoff_incremental_runoff_pnl,profit_factor,quantity_panel,replay,runoff_trade_count,split,stale_gross_in_calendar_equity,strategy,variant,worst_calendar_month,worst_day
14.32,-594.9,945.12,41182.52,41182.52,200,0,"Headline modeled P&L includes the lab's stated commission/spread assumptions and excludes broker-specific locate/HTB charges, dividends, recalls/buy-ins, financing, taxes, and other account-specific execution items. Alpaca ETB securities currently carry $0 locate and borrow fees for Trading API users; short availability and other security-specific costs may still vary.",0.52,True,PARENT,41182.52,164.07,-14273.28,30629.63,0.3063,0,95763.46,"numerator: marked account P&L at 2026-08-31 (41,182.52); denominator: 251 account sessions from 2025-09-02 to 2026-08-31",0,1.7211,LEGACY_FILL_QTY,Corrected-Universe Replay,0,IS,0,Winner-Fade Short,Equal-Dollar Short,-3848.13,-7135.84
14.67,-637.67,1036.12,55960.96,63755.49,215,7794.53,"Headline modeled P&L includes the lab's stated commission/spread assumptions and excludes broker-specific locate/HTB charges, dividends, recalls/buy-ins, financing, taxes, and other account-specific execution items. Alpaca ETB securities currently carry $0 locate and borrow fees for Trading API users; short availability and other security-specific costs may still vary.",0.5581,True,PARENT,65209.88,259.8,-23322.81,35066.88,0.3507,1,104365.23,"numerator: marked account P&L at 2026-08-31 (65,209.88); denominator: 251 account sessions from 2025-09-02 to 2026-08-31",-1335.84,2.0524,LEGACY_FILL_QTY,Corrected-Universe Replay,16,OOS,3872.58,Winner-Fade Short,Equal-Dollar Short,-5797.0,-4871.15
14.5,-616.17,993.87,97143.49,104938.02,415,7794.53,"Headline modeled P&L includes the lab's stated commission/spread assumptions and excludes broker-specific locate/HTB charges, dividends, recalls/buy-ins, financing, taxes, and other account-specific execution items. Alpaca ETB securities currently carry $0 locate and borrow fees for Trading API users; short availability and other security-specific costs may still vary.",0.5398,True,PARENT,106392.41,423.87,-18004.9,65696.51,0.657,1,107497.38,"numerator: marked account P&L at 2026-08-31 (106,392.41); denominator: 251 account sessions from 2025-09-02 to 2026-08-31",-1335.84,1.8917,LEGACY_FILL_QTY,Corrected-Universe Replay,16,ALL,3872.58,Winner-Fade Short,Equal-Dollar Short,-4139.09,-7135.84
14.32,-595.26,941.96,40819.13,40819.13,200,0,"Headline modeled P&L includes the lab's stated commission/spread assumptions and excludes broker-specific locate/HTB charges, dividends, recalls/buy-ins, financing, taxes, and other account-specific execution items. Alpaca ETB securities currently carry $0 locate and borrow fees for Trading API users; short availability and other security-specific costs may still vary.",0.52,True,PARENT,40819.13,162.63,-14264.5,30619.9,0.3062,0,95956.19,"numerator: marked account P&L at 2026-08-31 (40,819.13); denominator: 251 account sessions from 2025-09-02 to 2026-08-31",0,1.7143,CAUSAL_PREORDER_QTY,Corrected-Universe Replay,0,IS,0,Winner-Fade Short,Equal-Dollar Short,-3828.93,-7140.56
14.67,-637.55,1034.56,55882.56,63580.03,215,7697.47,"Headline modeled P&L includes the lab's stated commission/spread assumptions and excludes broker-specific locate/HTB charges, dividends, recalls/buy-ins, financing, taxes, and other account-specific execution items. Alpaca ETB securities currently carry $0 locate and borrow fees for Trading API users; short availability and other security-specific costs may still vary.",0.5581,True,PARENT,65050.78,259.17,-23289.36,34993.6,0.3499,1,104177.77,"numerator: marked account P&L at 2026-08-31 (65,050.78); denominator: 251 account sessions from 2025-09-02 to 2026-08-31",-1354.49,2.0497,CAUSAL_PREORDER_QTY,Corrected-Universe Replay,16,OOS,3797.53,Winner-Fade Short,Equal-Dollar Short,-5741.37,-4849.49
14.5,-616.3,991.57,96701.7,104399.17,415,7697.47,"Headline modeled P&L includes the lab's stated commission/spread assumptions and excludes broker-specific locate/HTB charges, dividends, recalls/buy-ins, financing, taxes, and other account-specific execution items. Alpaca ETB securities currently carry $0 locate and borrow fees for Trading API users; short availability and other security-specific costs may still vary.",0.5398,True,PARENT,105869.91,421.79,-18157.03,65613.49,0.6561,1,107386.33,"numerator: marked account P&L at 2026-08-31 (105,869.91); denominator: 251 account sessions from 2025-09-02 to 2026-08-31",-1354.49,1.8869,CAUSAL_PREORDER_QTY,Corrected-Universe Replay,16,ALL,3797.53,Winner-Fade Short,Equal-Dollar Short,-4315.5,-7140.56
14.32,-560.25,971.95,47298.09,47298.09,200,0,"Headline modeled P&L includes the lab's stated commission/spread assumptions and excludes broker-specific locate/HTB charges, dividends, recalls/buy-ins, financing, taxes, and other account-specific execution items. Alpaca ETB securities currently carry $0 locate and borrow fees for Trading API users; short availability and other security-specific costs may still vary.",0.52,True,R4,47298.09,188.44,-12452.01,29591.16,0.2959,0,95649.82,"numerator: marked account P&L at 2026-08-31 (47,298.09); denominator: 251 account sessions from 2025-09-02 to 2026-08-31",0,1.8794,LEGACY_FILL_QTY,Corrected-Universe Replay,0,IS,0,Winner-Fade Short,Volume-Sized Short,-4820.15,-8912.34
14.67,-608.66,1039.3,58229.59,66892.76,215,8663.17,"Headline modeled P&L includes the lab's stated commission/spread assumptions and excludes broker-specific locate/HTB charges, dividends, recalls/buy-ins, financing, taxes, and other account-specific execution items. Alpaca ETB securities currently carry $0 locate and borrow fees for Trading API users; short availability and other security-specific costs may still vary.",0.5581,True,R4,67357.09,268.35,-22110.8,35608.52,0.3561,1,115882.48,"numerator: marked account P&L at 2026-08-31 (67,357.09); denominator: 251 account sessions from 2025-09-02 to 2026-08-31",-311.77,2.1569,LEGACY_FILL_QTY,Corrected-Universe Replay,16,OOS,4983.32,Winner-Fade Short,Volume-Sized Short,-5847.15,-5136.93
14.5,-584.33,1008.03,105527.68,114190.85,415,8663.17,"Headline modeled P&L includes the lab's stated commission/spread assumptions and excludes broker-specific locate/HTB charges, dividends, recalls/buy-ins, financing, taxes, and other account-specific execution items. Alpaca ETB securities currently carry $0 locate and borrow fees for Trading API users; short availability and other security-specific costs may still vary.",0.5398,True,R4,114655.18,456.79,-21767.76,65199.68,0.652,1,117761.59,"numerator: marked account P&L at 2026-08-31 (114,655.18); denominator: 251 account sessions from 2025-09-02 to 2026-08-31",-311.77,2.0231,LEGACY_FILL_QTY,Corrected-Universe Replay,16,ALL,4983.32,Winner-Fade Short,Volume-Sized Short,-8288.75,-8912.34
14.32,-559.75,968.68,47006.49,47006.49,200,0,"Headline modeled P&L includes the lab's stated commission/spread assumptions and excludes broker-specific locate/HTB charges, dividends, recalls/buy-ins, financing, taxes, and other account-specific execution items. Alpaca ETB securities currently carry $0 locate and borrow fees for Trading API users; short availability and other security-specific costs may still vary.",0.52,True,R4,47006.49,187.28,-12464.62,29571.77,0.2957,0,95841.32,"numerator: marked account P&L at 2026-08-31 (47,006.49); denominator: 251 account sessions from 2025-09-02 to 2026-08-31",0,1.8748,CAUSAL_PREORDER_QTY,Corrected-Universe Replay,0,IS,0,Winner-Fade Short,Volume-Sized Short,-4801.12,-8891.11
