counterexamples,cutoff,feature,id,information_value,is_basis,is_status,is_within_contrast,lane,oos_status,oos_within_contrast,parent,prediction,question,sample,test,why_distinct
see hypothesis_casebook.md (private) and the anatomy report,SIGNAL_CLOSE,sc_four_state,D2-1,,"cohort-equal-weight mean S2=+0.071 (n=11) vs S3=+0.017 (n=70); S2 sits with S1 (+0.156), S3 with S4 (+0.021); S2 is sparse",GROUPS_DIFFER,,directed,C5:NOT_REPLICATED,,,"S2 (weak, loud) and S3 (strong, quiet) differ; no direction claimed",Do the two HALF states behave alike on sizing-neutral return?,IS 25 cohorts / 200 tickets; OOS 27 cohorts / 216 tickets,"group table S2 vs S3, cohort-equal-weight mean and hit rate",
see hypothesis_casebook.md (private) and the anatomy report,SIGNAL_CLOSE,sc_ret3,D2-2,,"continuous ret3 shows no rank relationship, but the frozen sign split does: ret3<=0 cohort-equal-weight +0.133 vs ret3>0 +0.019; the separation is the sign, not the magnitude",SUPPORTED_AS_PREDICTED_SIGN_SPLIT,0.04094174928463894,directed,C5:NOT_REPLICATED,-0.008700285192834372,,positive ret3 fades LESS (continuation risk): high-ret3 minus low-ret3 return negative,Is the engine shorting already-weakening winners (ret3 <= 0) more successfully than still-accelerating ones?,IS 25 cohorts / 200 tickets; OOS 27 cohorts / 216 tickets,S1+S2 vs S3+S4 sizing-neutral return; continuous ret3 relationship,
see hypothesis_casebook.md (private) and the anatomy report,SIGNAL_CLOSE,sc_volume_ratio_frozen,D2-3,,"not leading by rule: within share=0.40, contrast=-0.066",WEAK_DIRECTION_AS_PREDICTED,-0.06579930427169275,directed,SEPARATION_APPEARED_POST_HOC,-0.004310553916476654,,elevated signal-day volume fades LESS (attention/participation): high minus low negative,Does weakening on elevated volume behave differently from weakening on quiet volume?,IS 25 cohorts / 200 tickets; OOS 27 cohorts / 216 tickets,S2 vs S1 within ret3 <= 0; continuous volume ratio relationship,
see hypothesis_casebook.md (private) and the anatomy report,SIGNAL_CLOSE,sc_largest_session_share_of_advance,D3-1,,"not leading by rule: within share=0.68, contrast=+0.043",NO_SEPARATION,0.043469482673183325,directed,C7:REPLICATED,0.0922213235157827,,episodic advances fade LESS: high minus low negative,Episodic run-up (one session carries the advance) versus gradual ascent,IS 25 cohorts / 200 tickets; OOS 27 cohorts / 216 tickets,tercile contrast and within-cohort concordance,
see hypothesis_casebook.md (private) and the anatomy report,SIGNAL_CLOSE,sc_gap_share_of_advance,D3-2,,"not leading by rule: within share=0.52, contrast=-0.005",WEAK_DIRECTION_AS_PREDICTED,-0.004765068018509708,directed,NO_SIGNAL_CONFIRMED,0.0076363235765914824,,gap-driven advances fade LESS: high minus low negative,Gap-driven versus continuous-session advance,IS 25 cohorts / 200 tickets; OOS 27 cohorts / 216 tickets,tercile contrast and within-cohort concordance,
see hypothesis_casebook.md (private) and the anatomy report,SIGNAL_CLOSE,sc_close_vs_max_close15,D3-3,,"leading but opposite to the prediction: share=0.32, contrast=-0.123",REJECTED_OPPOSITE_DIRECTION,-0.1233801161254879,directed,REPLICATED,-0.09914852758379074,,names already off their high fade LESS further: high (near high) minus low positive,Drawdown already underway at the signal versus closing at the run-up high,IS 25 cohorts / 200 tickets; OOS 27 cohorts / 216 tickets,tercile contrast and within-cohort concordance,
see hypothesis_casebook.md (private) and the anatomy report,SIGNAL_CLOSE,sc_recent_minus_earlier,D3-4,,"not leading by rule: within share=0.52, contrast=+0.000",WEAK_DIRECTION_AS_PREDICTED,9.049236073119027e-05,directed,SEPARATION_APPEARED_POST_HOC,-0.00400066198682006,,late-accelerating names fade MORE: high minus low positive,Late acceleration versus early front-loaded run-up,IS 25 cohorts / 200 tickets; OOS 27 cohorts / 216 tickets,tercile contrast and within-cohort concordance,
see hypothesis_casebook.md (private) and the anatomy report,SIGNAL_CLOSE,sc_dollar_volume_mean20,D3-5,,"not leading by rule: within share=0.60, contrast=+0.023",NO_SEPARATION,0.023355048705446597,directed,NO_SIGNAL_CONFIRMED,-0.02476560633381753,,less liquid names fade MORE: high minus low negative,Liquidity: does dollar volume relate to the fade?,IS 25 cohorts / 200 tickets; OOS 27 cohorts / 216 tickets,tercile contrast and within-cohort concordance,
see hypothesis_casebook.md (private) and the anatomy report,SIGNAL_CLOSE,sc_signal_close_band,D3-6,,10-20 cew +0.093 hit 0.65 vs 20-40 -0.011 and 40-80 -0.019; OUTSIDE band is 5 rows,RECURRING_ASSOCIATION,,directed,C4:REPLICATED,,,no direction claimed,Price band association,IS 25 cohorts / 200 tickets; OOS 27 cohorts / 216 tickets,group table by band,
see hypothesis_casebook.md (private) and the anatomy report,SIGNAL_CLOSE,cx_rank_in_eight,D3-7,,rank 1 mean +0.327 hit 0.88 (25 cohorts); ranks 2-8 near zero; cx_gap_to_next_rank is the strongest within-cohort feature,SUPPORTED_AS_PREDICTED,-0.08563866450841544,directed,C1:REPLICATED,-0.06380323011757628,,the most extreme (rank 1-2) fade MORE: rank-return relationship positive on extremeness,Rank within the eight and relative extremeness,IS 25 cohorts / 200 tickets; OOS 27 cohorts / 216 tickets,group table by rank; cx_ret15_minus_cohort_median,
see hypothesis_casebook.md (private) and the anatomy report,PRE_ORDER,po_signal_close_to_preorder,D3-8,,"not leading by rule: within share=0.60, contrast=+0.018",WEAK_DIRECTION_AS_PREDICTED,0.018356655046310254,directed,C8:REPLICATED,-0.02504221364731846,,further rise into the order fades MORE: high minus low positive,Does entry-session continuation up to the pre-order bar add information beyond the signal close?,IS 25 cohorts / 200 tickets; OOS 27 cohorts / 216 tickets,within-cohort concordance of the pre-order move; compared with sc_ret1 on the same rows,
see hypothesis_casebook.md (private) and the anatomy report,PRE_ORDER,po_partial_volume_vs_elapsed_window_mean,D3-9,,"not leading by rule: within share=0.44, contrast=-0.036",WEAK_DIRECTION_AS_PREDICTED,-0.03591740003216489,directed,C8:REPLICATED,-0.02842656576371113,,elevated entry-session participation fades LESS: negative,Entry-session volume through the pre-order bar versus the same elapsed window on prior sessions,IS 25 cohorts / 200 tickets; OOS 27 cohorts / 216 tickets,tercile contrast and within-cohort concordance,
see hypothesis_casebook.md (private) and the anatomy report,SIGNAL_CLOSE,sc_documented_action_within_60_sessions,D3-10,,categorical; see is_result,INCONCLUSIVE_SPARSE,,directed,,,,no direction claimed; sparse,Known documented corporate action before the signal as context,IS 25 cohorts / 200 tickets; OOS 27 cohorts / 216 tickets,group table 0 vs >=1 actions,
see hypothesis_casebook.md (private) and the anatomy report,SIGNAL_CLOSE,ep_episode,F1,35% of selections are overlapping repeats; a difference would reshape how the weekly basket is read,"FIRST cew +0.080 (n=116), OVERLAPPING_REPEAT +0.053 (n=71), LATER_REPEAT -0.031 (n=13); modest, not leading",WEAK_DIRECTION_AS_PREDICTED,,freelance,C6:NOT_REPLICATED,,,overlapping repeats fade LESS than first selections (the first fade was already captured or the move is persistent),Overlapping repeat selection (previous hold still open) versus first selection,IS 25 cohorts / 200 tickets; OOS 27 cohorts / 216 tickets,group table FIRST vs OVERLAPPING_REPEAT vs LATER_REPEAT; cohort-equal-weight,directed work covers run-up shape and volume; episode age is a membership-history feature
see hypothesis_casebook.md (private) and the anatomy report,SIGNAL_CLOSE,sc_up_sessions_15,F2,separates squeeze-like persistence from news jumps without a catalyst narrative,"leading but opposite to the prediction: share=0.24, contrast=-0.101",REJECTED_OPPOSITE_DIRECTION,-0.10122595131419965,freelance,REPLICATED,-0.0936836884186813,,steady grinders fade MORE: high minus low positive,"Steady ascent (many up sessions) versus a few large jumps, holding the total advance similar",IS 25 cohorts / 200 tickets; OOS 27 cohorts / 216 tickets,tercile contrast and within-cohort concordance,D3-1 measures concentration by magnitude; this measures persistence by count
