cohort_id,old_field_size,corrected_field_size,restored_candidates,removed_test_issues,unrankable_no_trading,unrankable_unresolved,old_top8,corrected_top8,added,dropped,rank_changes,membership_changed,ranking_scope
2025-09-03,1277,1290,18,0,5,0,LCID;SATS;MLYS;IREN;ZEPP;ARWR;DK;PLYM,SOGP;SATS;MLYS;IREN;ZEPP;ARWR;DK;PLYM,SOGP,LCID,"{""SOGP"": [null, 1]}",True,CERTIFIED_RULE_FIELD_10_80
2025-09-10,1282,1300,21,0,3,0,LCID;OXLC;MLYS;SUPX;TRML;KRRO;NKTR;IREN,OCTO;SOGP;MLYS;SUPX;FORD;TRML;KRRO;NKTR,OCTO;SOGP;FORD,LCID;OXLC;IREN,"{""OCTO"": [null, 1], ""SOGP"": [null, 2], ""FORD"": [null, 5], ""TRML"": [5, 6], ""KRRO"": [6, 7], ""NKTR"": [7, 8]}",True,CERTIFIED_RULE_FIELD_10_80
2025-09-17,1297,1315,28,0,10,0,LCID;OXLC;MLYS;TRML;NKTR;INOD;HYPD;CIFR,TURB;HSDT;FORD;MLYS;TRML;NKTR;INOD;HYPD,TURB;HSDT;FORD,LCID;OXLC;CIFR,"{""TURB"": [null, 1], ""HSDT"": [null, 2], ""FORD"": [null, 3], ""MLYS"": [3, 4], ""TRML"": [4, 5], ""NKTR"": [5, 6], ""INOD"": [6, 7], ""HYPD"": [7, 8]}",True,CERTIFIED_RULE_FIELD_10_80
2025-09-24,1306,1329,39,0,16,0,VOR;OXLC;GMRE;BETR;QURE;BKKT;FORD;NKTR,BREA;BETR;QURE;BKKT;FORD;NKTR;RGTI;TRML,BREA;RGTI;TRML,VOR;OXLC;GMRE,"{""BREA"": [null, 1], ""BETR"": [4, 2], ""QURE"": [5, 3], ""BKKT"": [6, 4], ""FORD"": [7, 5], ""NKTR"": [8, 6], ""RGTI"": [null, 7], ""TRML"": [null, 8]}",True,CERTIFIED_RULE_FIELD_10_80
2025-10-01,1324,1359,48,0,13,0,VOR;WOLF;BKKT;QURE;BETR;FLNC;CLPT;SKYT,WOLF;BREA;BKKT;QURE;BETR;MFH;EFTY;HSDT,BREA;MFH;EFTY;HSDT,VOR;FLNC;CLPT;SKYT,"{""WOLF"": [2, 1], ""BREA"": [null, 2], ""MFH"": [null, 6], ""EFTY"": [null, 7], ""HSDT"": [null, 8]}",True,CERTIFIED_RULE_FIELD_10_80
2025-10-08,1316,1347,37,0,6,0,VOR;WOLF;QURE;BKKT;GMRE;DGNX;MFH;CLPT,WOLF;QURE;BKKT;BQ;GLTO;DGNX;MFH;CLPT,BQ;GLTO,VOR;GMRE,"{""WOLF"": [2, 1], ""QURE"": [3, 2], ""BKKT"": [4, 3], ""BQ"": [null, 4], ""GLTO"": [null, 5]}",True,CERTIFIED_RULE_FIELD_10_80
2025-10-15,1297,1324,36,0,9,0,WOLF;STI;NVA;CRML;NUKK;AQMS;NVTS;BKKT,WOLF;STI;TMQ;NVA;CRML;NUKK;AQMS;NVTS,TMQ,BKKT,"{""TMQ"": [null, 3], ""NVA"": [3, 4], ""CRML"": [4, 5], ""NUKK"": [5, 6], ""AQMS"": [6, 7], ""NVTS"": [7, 8]}",True,CERTIFIED_RULE_FIELD_10_80
2025-10-22,1259,1287,31,0,3,0,ETHZ;CRML;NVTS;VICR;UAMY;NVA;ATXS;CELC,GSIT;ANRO;CRML;NVTS;VICR;UAMY;NVA;ATXS,GSIT;ANRO,ETHZ;CELC,"{""GSIT"": [null, 1], ""ANRO"": [null, 2], ""CRML"": [2, 3], ""NVTS"": [3, 4], ""VICR"": [4, 5], ""UAMY"": [5, 6], ""NVA"": [6, 7], ""ATXS"": [7, 8]}",True,CERTIFIED_RULE_FIELD_10_80
2025-10-29,1275,1301,30,0,4,0,ETHZ;GSIT;SUPV;INBX;ANRO;REPL;EDN;GGAL,WKEY;GSIT;SUPV;INBX;ANRO;REPL;EDN;GGAL,WKEY,ETHZ,"{""WKEY"": [null, 1]}",True,CERTIFIED_RULE_FIELD_10_80
2025-11-05,1339,1373,41,0,7,0,ETHZ;TERN;PUMP;SUPV;NEGG;BBAR;GGAL;TCMD,EVOK;TERN;PUMP;SUPV;NEGG;BBAR;GGAL;TCMD,EVOK,ETHZ,"{""EVOK"": [null, 1]}",True,CERTIFIED_RULE_FIELD_10_80
2025-11-12,1287,1317,40,0,10,0,LXP;TERN;COGT;INBX;AXTI;CSIQ;SUPV;PUMP,GLTO;FRGE;TERN;COGT;INBX;AXTI;CSIQ;SUPV,GLTO;FRGE,LXP;PUMP,"{""GLTO"": [null, 1], ""FRGE"": [null, 2], ""TERN"": [2, 3], ""COGT"": [3, 4], ""INBX"": [4, 5], ""AXTI"": [5, 6], ""CSIQ"": [6, 7], ""SUPV"": [7, 8]}",True,CERTIFIED_RULE_FIELD_10_80
2025-11-19,1286,1335,60,0,11,0,LXP;TERN;OLMA;FRGE;COGT;MCRB;HAE;MH,TERN;OLMA;FRGE;COGT;CMCT;MCRB;HAE;MH,CMCT,LXP,"{""TERN"": [2, 1], ""OLMA"": [3, 2], ""FRGE"": [4, 3], ""COGT"": [5, 4], ""CMCT"": [null, 5]}",True,CERTIFIED_RULE_FIELD_10_80
2025-11-26,1326,1356,36,0,6,0,LXP;OLMA;COGT;PACS;FRGE;HLF;MAGN;CGEM,OLMA;COGT;PACS;FRGE;HLF;MAGN;CGEM;TERN,TERN,LXP,"{""OLMA"": [2, 1], ""COGT"": [3, 2], ""PACS"": [4, 3], ""FRGE"": [5, 4], ""HLF"": [6, 5], ""MAGN"": [7, 6], ""CGEM"": [8, 7], ""TERN"": [null, 8]}",True,CERTIFIED_RULE_FIELD_10_80
2025-12-03,1290,1320,32,0,2,0,HPP;OLMA;PACS;SGML;SEMR;MAGN;ARWR;SRRK,HPP;SMX;OLMA;AHMA;PACS;SGML;FLYE;SEMR,SMX;AHMA;FLYE,MAGN;ARWR;SRRK,"{""SMX"": [null, 2], ""OLMA"": [2, 3], ""AHMA"": [null, 4], ""PACS"": [3, 5], ""SGML"": [4, 6], ""FLYE"": [null, 7], ""SEMR"": [5, 8]}",True,CERTIFIED_RULE_FIELD_10_80
2025-12-10,1319,1336,24,0,7,0,HPP;CAPR;WVE;PACS;GPCR;ALMS;PLAB;SEMR,TGL;HPP;CAPR;OCG;WVE;PACS;GPCR;ALMS,TGL;OCG,PLAB;SEMR,"{""TGL"": [null, 1], ""HPP"": [1, 2], ""CAPR"": [2, 3], ""OCG"": [null, 4], ""WVE"": [3, 5], ""PACS"": [4, 6], ""GPCR"": [5, 7], ""ALMS"": [6, 8]}",True,CERTIFIED_RULE_FIELD_10_80
2025-12-17,1347,1364,29,1,11,0,HPP;CAPR;WVE;VOR;GPCR;DBVT;VERA;FEIM,TLRY;HPP;CAPR;WVE;VOR;GPCR;DBVT;VERA,TLRY,FEIM,"{""TLRY"": [null, 1], ""HPP"": [1, 2], ""CAPR"": [2, 3], ""WVE"": [3, 4], ""VOR"": [4, 5], ""GPCR"": [5, 6], ""DBVT"": [6, 7], ""VERA"": [7, 8]}",True,CERTIFIED_RULE_FIELD_10_80
2025-12-24,1249,1265,22,0,6,0,WVE;GPCR;HYMC;ISSC;FEIM;SOC;RGC;KDK,AFJK;WVE;VELO;GPCR;HYMC;ISSC;FEIM;SOC,AFJK;VELO,RGC;KDK,"{""AFJK"": [null, 1], ""WVE"": [1, 2], ""VELO"": [null, 3], ""GPCR"": [2, 4], ""HYMC"": [3, 5], ""ISSC"": [4, 6], ""FEIM"": [5, 7], ""SOC"": [6, 8]}",True,CERTIFIED_RULE_FIELD_10_80
2025-12-31,1208,1231,29,0,6,0,VELO;HYMC;PL;FEIM;OMER;FOLD;DVAX;LUNR,ASPC;GLSI;VELO;HYMC;EKSO;PL;FEIM;OMER,ASPC;GLSI;EKSO,FOLD;DVAX;LUNR,"{""ASPC"": [null, 1], ""GLSI"": [null, 2], ""VELO"": [1, 3], ""HYMC"": [2, 4], ""EKSO"": [null, 5], ""PL"": [3, 6], ""FEIM"": [4, 7], ""OMER"": [5, 8]}",True,CERTIFIED_RULE_FIELD_10_80
2026-01-07,1342,1360,25,0,7,0,RGC;HYMC;VELO;SKYT;CRML;LUNR;VTYX;HUT,INBS;RGC;HYMC;VELO;SKYT;CRML;LUNR;VTYX,INBS,HUT,"{""INBS"": [null, 1], ""RGC"": [1, 2], ""HYMC"": [2, 3], ""VELO"": [3, 4], ""SKYT"": [4, 5], ""CRML"": [5, 6], ""LUNR"": [6, 7], ""VTYX"": [7, 8]}",True,CERTIFIED_RULE_FIELD_10_80
