availability,certification,coverage_pct,coverage_tickets,cutoff,feature,formula,lookback,missing_rule,source,units
signal-session regular-hours close,price/volume from the certified tape; the feature definition itself is new and uncertified,100.0,416,SIGNAL_CLOSE,sc_ret1,close_t / close_{t-1} - 1,1 session,"None when any required session or bar is absent; never zero, never a favorable state",certified local one-minute tape aggregated to sessions,signal-session units; earlier bars adjusted by actions effective by the signal
signal-session regular-hours close,"identical to the frozen engine rule, verified against the ledger on every ticket",100.0,416,SIGNAL_CLOSE,sc_ret3,close_t / close_{t-3} - 1; equals the frozen R5 momentum feature,3 sessions,"None when any required session or bar is absent; never zero, never a favorable state",certified local one-minute tape aggregated to sessions,signal-session units; earlier bars adjusted by actions effective by the signal
signal-session regular-hours close,price/volume from the certified tape; the feature definition itself is new and uncertified,100.0,416,SIGNAL_CLOSE,sc_ret5,close_t / close_{t-5} - 1,5 sessions,"None when any required session or bar is absent; never zero, never a favorable state",certified local one-minute tape aggregated to sessions,signal-session units; earlier bars adjusted by actions effective by the signal
signal-session regular-hours close,price/volume from the certified tape; the feature definition itself is new and uncertified,100.0,416,SIGNAL_CLOSE,sc_ret10,close_t / close_{t-10} - 1,10 sessions,"None when any required session or bar is absent; never zero, never a favorable state",certified local one-minute tape aggregated to sessions,signal-session units; earlier bars adjusted by actions effective by the signal
signal-session regular-hours close,"identical to the frozen engine rule, verified against the ledger on every ticket",100.0,416,SIGNAL_CLOSE,sc_ret15,close_t / close_{t-15} - 1; the frozen ranking return in signal units,15 sessions,"None when any required session or bar is absent; never zero, never a favorable state",certified local one-minute tape aggregated to sessions,signal-session units; earlier bars adjusted by actions effective by the signal
signal-session regular-hours close,price/volume from the certified tape; the feature definition itself is new and uncertified,100.0,416,SIGNAL_CLOSE,sc_ret15_to_5,"close_{t-5} / close_{t-15} - 1, the earlier part of the run-up",15 sessions,"None when any required session or bar is absent; never zero, never a favorable state",certified local one-minute tape aggregated to sessions,signal-session units; earlier bars adjusted by actions effective by the signal
signal-session regular-hours close,price/volume from the certified tape; the feature definition itself is new and uncertified,100.0,416,SIGNAL_CLOSE,sc_recent_minus_earlier,ret5 - ret15_to_5,15 sessions,"None when any required session or bar is absent; never zero, never a favorable state",certified local one-minute tape aggregated to sessions,signal-session units; earlier bars adjusted by actions effective by the signal
signal-session regular-hours close,price/volume from the certified tape; the feature definition itself is new and uncertified,100.0,416,SIGNAL_CLOSE,sc_acceleration_3,ret3 - (close_{t-3}/close_{t-6} - 1),6 sessions,"None when any required session or bar is absent; never zero, never a favorable state",certified local one-minute tape aggregated to sessions,signal-session units; earlier bars adjusted by actions effective by the signal
signal-session regular-hours close,price/volume from the certified tape; the feature definition itself is new and uncertified,99.3,413,SIGNAL_CLOSE,sc_largest_session_share_of_advance,"largest single-session log return / sum of 15 session log returns, when the sum is positive",15 sessions,"None when any required session or bar is absent; never zero, never a favorable state",certified local one-minute tape aggregated to sessions,signal-session units; earlier bars adjusted by actions effective by the signal
signal-session regular-hours close,price/volume from the certified tape; the feature definition itself is new and uncertified,99.3,413,SIGNAL_CLOSE,sc_top3_sessions_share_of_advance,sum of the three largest session log returns / total 15-session log advance,15 sessions,"None when any required session or bar is absent; never zero, never a favorable state",certified local one-minute tape aggregated to sessions,signal-session units; earlier bars adjusted by actions effective by the signal
